ID,sentence,verb1,verbType1,verb2,verbType2,verb3,verbType3,verb4,verbType4
10910,彼の助言は非常に役に立った。,立った,past,,,,,,
10911,もうこれ以上歩けない。,歩けない,negative,,,,,,
10912,あなたは仕事を続けて。,続けて,participle,,,,,,
10913,彼女は友達を探したが誰一人見つからなかった。,見つからなかった,negative-past,,,,,,
10914,私たちのロンドンでの滞在は短すぎた。,すぎた,past,,,,,,
10915,父は私にその本を買ってくれました。,買って,participle,くれました,past-polite,,,,
10916,彼女は刑務所にいる夫を訪れた。,いる,dict,訪れた,past,,,,
10917,私は彼女が美しいのを知っています。,知って,participle,います,polite,,,,
10918,彼女は風を入れるために窓を開けた。,開けた,past,,,,,,
10920,ジョンには近いうちに休みをやろう。,やろう,volitional,,,,,,
10921,私はフランス語を専攻するつもりです。,する,dict,,,,,,
10922,奇妙なことに、彼はそのニュースを知らなかった。,知らなかった,negative-past,,,,,,
10925,これはかなり良く練られた計画だったね。,練られた,passive-past,,,,,,
10926,私は朝６時におきます。,おきます,polite,,,,,,
10927,その計画は実施された。,された,passive-past,,,,,,
10928,私には本を読むひまがない。,読む,dict,,,,,,
10929,じきに戻って来ます。,戻って,participle,来ます,polite,,,,
10930,私は今休暇を取っています。,取って,participle,います,polite,,,,
10931,彼は幸せでないかもしれない。,しれない,negative,,,,,,
10932,私は飛行機にちょうど間に合って到着した。,間に合って,participle,した,past,,,,
10933,彼は毎朝、朝食前によく散歩をしたものだった。,した,past,,,,,,
10934,その犬はジョンというなまえです。,いう,dict,,,,,,
10935,私は駅でしばしば佐々木先生に会ったことがある。,会った,past,ある,dict,,,,
10936,君が右手に持っているものは何ですか。,持って,participle,いる,dict,,,,
10937,今後もおつきあいいただけるよう願っています。,います,polite,,,,,,
10942,彼はきっと試合に勝ちます。,勝ちます,polite,,,,,,
10943,健は泳げますね。,泳げます,polite,,,,,,
10945,安全が最も重要な事である。,ある,dict,,,,,,
10947,犬は泳ぎますか。,泳ぎます,polite,,,,,,
10949,誰もが彼を正直であるとみなす。,ある,dict,みなす,dict,,,,
10952,あの問題どのように処理しましたか。,しました,past-polite,,,,,,
10954,隣町に住んでいます。,住んで,participle,います,polite,,,,
10955,子供で部屋中がいっぱいになった。,なった,past,,,,,,
10956,私の時計は防水になっています。,なって,participle,います,polite,,,,
10958,昨日家に帰る中に夕立にあいました。,帰る,dict,あいました,past-polite,,,,
10959,あなたとジェインは結婚してどれくらいになりますか。,して,participle,なります,polite,,,,
10961,母は私に新しいドレスをつくってくれました。,つくって,participle,くれました,past-polite,,,,
10963,ここにずっといなければならなかった。,いなければ,negative-provisional-conditional,ならなかった,negative-past,,,,
10965,父が僕の古い時計を修理してくれた。,して,participle,くれた,past,,,,
10966,誰でも彼の名前を知っている。,知って,participle,いる,dict,,,,
10968,机の上に本が１冊ある。,ある,dict,,,,,,
10969,彼女は結婚するには若すぎる。,する,dict,すぎる,dict,,,,
10971,ジョンはこのへんには友達がいない。,いない,negative,,,,,,
10972,彼の名前は国中で知られている。,知られて,passive-participle,いる,dict,,,,
10973,この道をいけば駅に着く。,いけば,provisional-conditional,着く,dict,,,,
10974,自分の衰えを感じた事がありますか。,感じた,past,,,,,,
10975,玄関のドアは開いていた。,開いて,participle,いた,past,,,,
10976,私は１日中テニスをしていました。,して,participle,いました,past-polite,,,,
10978,彼女は父親が金持ちであることを自慢している。,ある,dict,して,participle,いる,dict,,
10980,何かおもしろい読み物を貸してください。,貸して,participle,,,,,,
10981,家まで車で送りましょう。,送りましょう,volitional-polite,,,,,,
10983,彼は何を求めているのですか。,求めて,participle,,,,,,
10985,彼の考えは何の役にも立たない。,立たない,negative,,,,,,
10987,彼は試してみる事にした。,試して,participle,みる,dict,,,,
10990,私はその本に２千円払った。,払った,past,,,,,,
10991,彼女は私よりトムの方を愛している。,愛して,participle,いる,dict,,,,
10993,この机は木で作られている。,作られて,passive-participle,いる,dict,,,,
10994,私たちは日本語を話す。,話す,dict,,,,,,
10995,おじは学校の近くに住んでいる。,住んで,participle,いる,dict,,,,
10996,私は本棚の本をすべて読んだわけではない。,読んだ,past,,,,,,
10997,彼はロンドンに向けて出発しました。,向けて,participle,しました,past-polite,,,,
10999,私は英語を勉強するつもりです。,する,dict,,,,,,
11000,たまたま彼らはそこにいなかった。,いなかった,negative-past,,,,,,
11001,あちらこちらご案内いたします。,いたします,polite,,,,,,
11002,それは売らないつもりです。,売らない,negative,,,,,,
11003,明日、君に電話するよ。,する,dict,,,,,,
11004,日本語をどう思いますか。,思います,polite,,,,,,
11005,ヘレンはいつも部屋をきれいにしている。,して,participle,いる,dict,,,,
11006,私は今晩テレビで野球を見たい。,見たい,wish,,,,,,
11008,暗すぎてそこで本を読むことはできない。,すぎて,participle,読む,dict,できない,negative,,
11009,彼を招待するべきだったのにしなかった。,しなかった,negative-past,,,,,,
11010,ある冬の朝私は彼に会った。,会った,past,,,,,,
11012,私は事故で学校に遅れた。,遅れた,past,,,,,,
11013,彼の長い演説にはもう飽きた。,飽きた,past,,,,,,
11015,ジョンに時計を直してもらうつもりだ。,直して,participle,もらう,dict,,,,
11016,列車が１０分で出ます。,出ます,polite,,,,,,
11019,その少年は両親に学校をやめさせられた。,やめさせられた,causative-passive-past,,,,,,
11020,彼は酔って少しご機嫌だ。,酔って,participle,,,,,,
11022,私はとうとうこの課題を終えた。,終えた,past,,,,,,
11023,彼女が来るかどうか疑う。,来る,dict,疑う,dict,,,,
11025,我々の中に裏切り者がいる。,いる,dict,,,,,,
11026,彼はよくしゃべる人だ。,しゃべる,dict,,,,,,
11028,あなたはカメラを持っていますか。,持って,participle,います,polite,,,,
11030,妹さんを駅まで車で迎えにいかせてください。,迎え,nominal,いかせて,causative-participle,,,,
11031,彼は友人との約束を破った。,破った,past,,,,,,
11032,あなたがたは何を求めているのですか。,求めて,participle,,,,,,
11033,彼への愛はもう冷めてしまった。,冷めて,participle,しまった,past,,,,
11035,この世に私が恐れるものは何もない。,恐れる,dict,,,,,,
11036,図書館には彼らしかいなかった。,いなかった,negative-past,,,,,,
11042,彼は徒歩か自転車で来る。,来る,dict,,,,,,
11043,僕は君の意見に完全に同意する。,する,dict,,,,,,
11044,耳を貸して下さい。,貸して,participle,,,,,,
11046,今晩、外食しましょう。,しましょう,volitional-polite,,,,,,
11047,だれかこのドアを開けてください。,開けて,participle,,,,,,
11048,彼女は私の成功をねたんでいる。,ねたんで,participle,いる,dict,,,,
11049,私もそこへ行きました。,行きました,past-polite,,,,,,
11052,私は今晩東京を出発します。,します,polite,,,,,,
11054,私たちは夏の間は田舎で暮らします。,暮らします,polite,,,,,,
11055,彼はたいへん心配そうに見える。,見える,dict,,,,,,
11057,暇なとき、これをしてくれ。,して,participle,くれ,nominal,,,,
11058,私は美を愛する人間である。,愛する,dict,ある,dict,,,,
11059,急がないと雨が降ってくるよ。,降って,participle,くる,dict,,,,
11060,彼が言っていることは筋が通らない。,言って,participle,いる,dict,通らない,negative,,
11061,彼はいつもいい考えを持っている。,持って,participle,いる,dict,,,,
11063,私たちは６時に食事することになっている。,する,dict,なって,participle,いる,dict,,
11064,物音が聞こえたような気がした。,した,past,,,,,,
11067,彼女は庭の花の名を全部言った。,言った,past,,,,,,
11068,着てみていいですか。,着て,participle,みて,participle,,,,
11069,太らないように気をつけているの？,つけて,participle,,,,,,
11070,その箱に何が入っているの。,入って,participle,,,,,,
11072,暑くならないうちに出かけよう。,ならない,negative,,,,,,
11073,これをフランス語に翻訳してくれないか。,して,participle,くれない,negative,,,,
11077,先週の日曜日から雨が降り続けている。,いる,dict,,,,,,
11078,吉田、ゆっくりやれよ。,やれ,imperative,,,,,,
11079,土曜日には生徒はみんな早く帰宅する。,する,dict,,,,,,
11080,また大学の入学試験を受けるなんてやだ。,受ける,dict,,,,,,
11081,そういうわけでクラスの生徒全員が彼に賛成した。,いう,dict,した,past,,,,
11082,君の助けを当てにするよ。,する,dict,,,,,,
11084,老人は道路のうえで死んでいた。,死んで,participle,いた,past,,,,
11086,トムはテストでいくつか間違いをしました。,しました,past-polite,,,,,,
11087,私は昨日そこへいかねばならなかった。,ならなかった,negative-past,,,,,,
11089,すぐ歯医者に見てもらいなさい。,見て,participle,,,,,,
11090,車はそのトンネルの中を通ります。,通ります,polite,,,,,,
11091,私は私の目で見る。,見る,dict,,,,,,
11094,この学校はたくさんの生徒がいます。,います,polite,,,,,,
11095,彼女は私にその事について説明した。,ついて,participle,した,past,,,,
11097,私はどうにか自分で車を修理することができた。,する,dict,,,,,,
11099,彼は彼女の父親であることがわかりました。,ある,dict,わかりました,past-polite,,,,
11101,彼女は少し気難しいことを言っている。,言って,participle,いる,dict,,,,
11102,上の部屋から変な物音が聞こえてきた。,聞こえて,participle,きた,past,,,,
11103,ぼくのことばをまだ疑っているんですか。,疑って,participle,,,,,,
11104,一生懸命働く事で夢を実現できる。,働く,dict,できる,dict,,,,
11105,お金をいくらか残しておきなさい。,残して,participle,,,,,,
11106,彼は私の意見を固執する。,する,dict,,,,,,
11107,そんなものはどこでも見られるわけではない。,見られる,passive,,,,,,
11108,今ここで何もかもきめてしまいましょう。,きめて,participle,しまいましょう,volitional-polite,,,,
11110,ミンは宿題をしにどこへ行ったのですか。,し,nominal,,,,,,
11111,私はいつも６時に起きる。,起きる,dict,,,,,,
11112,そのホテルの前に銀行がある。,ある,dict,,,,,,
11113,地球は太陽の回りを回る。,回る,dict,,,,,,
11114,あなたはすぐに宿題をしなければならない。,しなければ,negative-provisional-conditional,ならない,negative,,,,
11115,彼女の名前だけは知っている。,知って,participle,いる,dict,,,,
11116,彼は新しい生活へ自分を順応させた。,させた,causative-past,,,,,,
11117,一緒にいってやってみない？,やって,participle,みない,negative,,,,
11118,私は兄とテニスをしました。,しました,past-polite,,,,,,
11119,自分のステレオを持っています。,持って,participle,います,polite,,,,
11123,もう宿題を終えましたか。,終えました,past-polite,,,,,,
11124,彼女の考えは聞くに及ばない。,聞く,dict,及ばない,negative,,,,
11125,彼の成功を祈って乾杯しよう。,祈って,participle,しよう,volitional,,,,
11126,私は映画に行こうと提案した。,行こう,volitional,した,past,,,,
11127,あなたはもっと勉強する必要がある。,する,dict,ある,dict,,,,
11130,彼は何をやっても上手くやる。,やって,participle,やる,dict,,,,
11131,テレビをつけてくれますか。,つけて,participle,くれます,polite,,,,
11132,彼は結局現われなかった。,現われなかった,negative-past,,,,,,
11135,その本についてどう思いますか。,ついて,participle,思います,polite,,,,
11136,ひどい風邪のため、彼はゲームに参加できなかった。,できなかった,negative-past,,,,,,
11137,早く帰ってきてね。,帰って,participle,きて,participle,,,,
11138,彼らは我々を援助するのを拒んだ。,拒んだ,past,,,,,,
11139,あと１週間でこの仕事は終わります。,終わります,polite,,,,,,
11140,彼は決して戻ってこないと思います。,戻って,participle,こない,negative,思います,polite,,
11142,けっしてここで遊んではいけない。,遊んで,participle,いけない,negative,,,,
11144,この宛先におくってもらえませんか。,おくって,participle,もらえません,negative-polite,,,,
11145,彼には試験に受かってほしい。,受かって,participle,,,,,,
11146,ビールを飲むのはやめている。,やめて,participle,いる,dict,,,,
11147,彼女は医学を学ぶためにアメリカに渡った。,渡った,past,,,,,,
11148,私は友達がほとんどいない。,いない,negative,,,,,,
11149,授業は英語でなされた。,なされた,passive-past,,,,,,
11150,彼らはその美しい庭園を眺めていた。,眺めて,participle,いた,past,,,,
11151,ボブは６時には帰っています。,帰って,participle,います,polite,,,,
11152,私の前に３人の人がまっていた。,まって,participle,いた,past,,,,
11156,彼は老けて見える。,老けて,participle,見える,dict,,,,
11157,天候は我々の健康と大いに関係がある。,ある,dict,,,,,,
11158,彼女は１つのことに注意を集中した。,した,past,,,,,,
11161,私のコーヒーには砂糖を入れないで下さい。,入れないで,negative-participle,,,,,,
11162,星が出てきた。,出て,participle,きた,past,,,,
11163,それが私がこられなかった理由です。,こられなかった,potential-negative-past,,,,,,
11167,彼は私のかばんを持ってくれた。,持って,participle,くれた,past,,,,
11168,シアトルに行きたい。,行きたい,wish,,,,,,
11169,私は冗談など言う気がしない。,言う,dict,しない,negative,,,,
11170,彼はそれをみんな食べた。,食べた,past,,,,,,
11171,その仕事は十分骨折ってするだけの価値がある。,骨折って,participle,ある,dict,,,,
11172,私はそれを新聞で読んだ。,読んだ,past,,,,,,
11174,メアリーは泳ぐ事ができます。,泳ぐ,dict,,,,,,
11175,母は私の誕生日にケーキを焼いてくれた。,焼いて,participle,くれた,past,,,,
11176,今日、ほとんどの若者はスキーができる。,できる,dict,,,,,,
11177,今晩私に電話して下さい。,して,participle,,,,,,
11178,彼は新しいビジネスでうまくいっている。,いる,dict,,,,,,
11180,彼らは私の質問にやっとのことで答えた。,答えた,past,,,,,,
11181,先生は子供たちに静かにしなさいと言った。,言った,past,,,,,,
11182,お子さんを連れて行きなさい。,連れて,participle,,,,,,
11183,彼は顎鬚を生やしている。,生やして,participle,いる,dict,,,,
11184,客の言うことはいつも正しい。,言う,dict,,,,,,
11186,彼の言ったことはその問題に関係ない。,言った,past,,,,,,
11187,私はあなたのあのネクタイが気に入っている。,入って,participle,いる,dict,,,,
11188,彼は一生懸命働いたので成功した。,した,past,,,,,,
11190,彼女はその演説の速記をとった。,とった,past,,,,,,
11192,彼はまもなく到着した。,した,past,,,,,,
11194,彼は少し父親に似ている。,似て,participle,いる,dict,,,,
11195,私は手紙を書いているところではない。,書いて,participle,いる,dict,,,,
11199,彼女の成功の知らせを聞いて彼はうれしかった。,聞いて,participle,,,,,,
11200,医師の名前と電話番号を教えてください。,教えて,participle,,,,,,
11201,既に宿題を終えてしまった。,終えて,participle,しまった,past,,,,
11202,彼は商用で行った。,行った,past,,,,,,
11203,ニューヨークで道に迷った。,迷った,past,,,,,,
11206,６人宿泊させて欲しい。,させて,causative-participle,,,,,,
11207,私はその３人の誰も知らない。,知らない,negative,,,,,,
11208,このボールペンは２ドルで買った。,買った,past,,,,,,
11209,今まで一度も彼に会ったことはない。,会った,past,,,,,,
11210,できる限り助力しましょう。,しましょう,volitional-polite,,,,,,
11211,驚きのあまり口もきけなかった。,きけなかった,negative-past,,,,,,
11212,私は逆の意見を持っている。,持って,participle,いる,dict,,,,
11213,私がどんなにうれしいか言葉では伝えられない。,伝えられない,passive-negative,,,,,,
11216,私はそのとき家を出るところだった。,出る,dict,,,,,,
11217,浣腸をしました。,しました,past-polite,,,,,,
11218,ゆうべ彼のお父さんが病院で亡くなった。,亡くなった,past,,,,,,
11221,ビルはあの男に殺された。,殺された,passive-past,,,,,,
11222,誰かが玄関にいるよ。,いる,dict,,,,,,
11223,バス停はここから歩いて５分の距離です。,歩いて,participle,,,,,,
11224,私はそれを得ようとしたが、無駄だった。,得よう,volitional,,,,,,
11226,できるだけの援助をいたしましょう。,できる,dict,いたしましょう,volitional-polite,,,,
11227,彼は私の提案に賛成しなかった。,しなかった,negative-past,,,,,,
11230,私は朝食のしたくをしなければならない。,しなければ,negative-provisional-conditional,ならない,negative,,,,
11231,私達は英語を国際語と呼ぶことができます。,呼ぶ,dict,,,,,,
11233,彼はその村の全ての人に知られている。,知られて,passive-participle,いる,dict,,,,
11237,我が家を愛しない人は誰もいない。,愛しない,negative,いない,negative,,,,
11238,試合の終わりまでいましょう。,いましょう,volitional-polite,,,,,,
11242,私は夏休みの間、郵便局で働いていた。,働いて,participle,いた,past,,,,
11244,何時に起きましたか。,起きました,past-polite,,,,,,
11245,これは彼自身がかいた絵だ。,かいた,past,,,,,,
11246,医者に診てもらいたいのです。,診て,participle,,,,,,
11247,あれは彼が住んでいる家だ。,住んで,participle,いる,dict,,,,
11248,彼は医者を呼びにやった。,呼び,nominal,やった,past,,,,
11249,そのスパナを取ってくれ。,取って,participle,くれ,nominal,,,,
11250,あなたは英語を聞いていますか。,聞いて,participle,います,polite,,,,
11253,正直がいつも割に合うとは限らない。,合う,dict,限らない,negative,,,,
11254,彼のしたことは間違っていない。,した,past,間違って,participle,いない,negative,,
11257,彼は私の病気を治した。,治した,past,,,,,,
11261,今夜はレストランに行こうよ。,行こう,volitional,,,,,,
11262,彼女は数日間そのホテルに滞在した。,した,past,,,,,,
11264,話をするとすぐに口論になる。,なる,dict,,,,,,
11265,海に行くよりは山に行きたい。,行く,dict,行きたい,wish,,,,
11267,それをどこにも見つけることができなかった。,見つける,dict,,,,,,
11268,彼女は昨日、病院に行った。,行った,past,,,,,,
11269,当分、この語学学校でフランス語を勉強します。,します,polite,,,,,,
11270,どうぞ楽になって下さい。,なって,participle,,,,,,
11271,私たちは３年前ここに引っ越してきた。,引っ越して,participle,きた,past,,,,
11272,私の知る限りでは彼はよい男だ。,知る,dict,,,,,,
11274,その船は出航しようとしている。,しよう,volitional,して,participle,いる,dict,,
11275,そのバスは私の家の前に停まります。,停まります,polite,,,,,,
11276,私自身がやった。,やった,past,,,,,,
11277,その本を読み終えたら私に返してください。,返して,participle,,,,,,
11279,それをちょっと見せてください。,見せて,participle,,,,,,
11281,生きている限りご恩は決して忘れません。,生きて,participle,いる,dict,忘れません,negative-polite,,
11282,鳥だったら、すぐそこに飛んでいくのに。,飛んで,participle,,,,,,
11283,この家には誰も住んでいない。,住んで,participle,いない,negative,,,,
11284,私は自分の仕事に満足している。,して,participle,いる,dict,,,,
11286,彼はきのう公園を散歩した。,した,past,,,,,,
11287,高校時代はよくテニスをしたものです。,した,past,,,,,,
11288,来たがっている人なら誰でも招きなさい。,いる,dict,,,,,,
11289,私は、旅行会社に勤めています。,勤めて,participle,います,polite,,,,
11291,他に気をつけることはありますか。,つける,dict,,,,,,
11294,彼はその家具を買うことができるほど金持ちです。,買う,dict,,,,,,
11295,その少年は学校の規則に合わせて生活出来なかった。,合わせて,participle,出来なかった,negative-past,,,,
11296,君が来るのは、当然のことだと思った。,思った,past,,,,,,
11298,私たちは彼をリーダーとして尊敬している。,して,participle,いる,dict,,,,
11299,彼はその問題を調べている。,調べて,participle,いる,dict,,,,
11300,彼女は彼を遠ざけたい。,遠ざけたい,wish,,,,,,
11302,彼はすべてを知っているように思われる。,知って,participle,,,,,,
11305,彼女は大学へ入学する準備をしている。,する,dict,して,participle,いる,dict,,
11306,外国人留学生は私たちに援助を求めた。,求めた,past,,,,,,
11307,君の助けはいらない。,いらない,negative,,,,,,
11308,六時頃車で迎えにきます。,迎え,nominal,きます,polite,,,,
11309,コートを脱いだらどうですか。,脱いだら,conditional,,,,,,
11311,彼女はピアノを弾くことができますか。,弾く,dict,,,,,,
11314,大学時代に私は英字新聞をとっていた。,とって,participle,いた,past,,,,
11317,彼とスキーに行こうとは決して思わない。,行こう,volitional,思わない,negative,,,,
11318,私は翌朝パリに向かう予定だった。,向かう,dict,,,,,,
11321,君は九州へ行ったことがありますか。,行った,past,,,,,,
11323,君が僕の立場だったら、どうするかね。,する,dict,,,,,,
11324,あなたは６時に起きなければなりません。,起きなければ,negative-provisional-conditional,なりません,negative-polite,,,,
11325,お辞儀はどうしたの。,した,past,,,,,,
11326,彼は私の仕事を助けてくれた。,助けて,participle,くれた,past,,,,
11327,彼は窓から外を見ていた。,見て,participle,いた,past,,,,
11329,これ以上この暑さには我慢できない。,できない,negative,,,,,,
11330,彼女は私を冷たい目で見た。,見た,past,,,,,,
11331,新しい住所を連絡してください。,して,participle,,,,,,
11332,風邪ぎみで寝ている。,寝て,participle,いる,dict,,,,
11333,帰りたくない。,帰りたく,wish-nominal,,,,,,
11335,これは私が初めて味わった日本料理だった。,味わった,past,,,,,,
11337,ホテルの前に銀行がある。,ある,dict,,,,,,
11341,彼らは学校を設立した。,した,past,,,,,,
11342,私は猫がその犬を追いかけているのをみた。,みた,past,,,,,,
11343,この本は何回読んでもおもしろい。,読んで,participle,,,,,,
11344,彼は彼女を音楽会へ誘った。,誘った,past,,,,,,
11348,彼はそれに決めた。,決めた,past,,,,,,
11350,公園は川の所まで拡張された。,された,passive-past,,,,,,
11352,来たい人は誰でも招待してよろしい。,来たい,wish,して,participle,,,,
11354,寝た方が良い。,寝た,past,,,,,,
11356,明日友達がパーティーを開いてくれる。,開いて,participle,くれる,dict,,,,
11358,我々は計画が実行できず、失望した。,した,past,,,,,,
11359,私は昨日一日中寝ていた。,寝て,participle,いた,past,,,,
11361,守れない約束をしてはいけない。,守れない,negative,して,participle,いけない,negative,,
11362,ボブはたびたびタバコを止めようとしている。,止めよう,volitional,して,participle,いる,dict,,
11363,私は定年まで３年残っている。,残って,participle,いる,dict,,,,
11365,それは彼女に吠えますか。,吠えます,polite,,,,,,
11366,あれは先週開店した新しい店だ。,した,past,,,,,,
11368,もうすぐ春がくる。,くる,dict,,,,,,
11369,彼は何をしようとしているのか。,しよう,volitional,して,participle,,,,
11372,いつお迎えにまいりましょうか。,まいりましょう,volitional-polite,,,,,,
11377,私が日本語の勉強を始めてから４０年になる。,始めて,participle,なる,dict,,,,
11379,今日の午後医者に診てもらう予定です。,診て,participle,もらう,dict,,,,
11380,彼女はその古いテーブルをただ同然で買った。,買った,past,,,,,,
11381,彼の小説は英語とフランス語でも出ています。,出て,participle,います,polite,,,,
11383,ドアは閉めておきなさい。,閉めて,participle,,,,,,
11384,十分に睡眠を取りなさいといわれました。,いわれました,passive-past-polite,,,,,,
11385,彼女が生きていればなあ。,生きて,participle,いれば,provisional-conditional,,,,
11386,彼が出発して３時間半が経過した。,して,participle,した,past,,,,
11387,以前はタバコを吸わなかった。,吸わなかった,negative-past,,,,,,
11388,彼はお金をどのくらい持っていますか。,持って,participle,います,polite,,,,
11389,ひょっとすると彼女は重い病気かもしれない。,しれない,negative,,,,,,
11390,私たちはどうしていいかわからなかった。,わからなかった,negative-past,,,,,,
11392,それはとてもできない相談だ。,できない,negative,,,,,,
11393,その戦争中に多くの人が餓死した。,した,past,,,,,,
11394,私は何もかも言ってしまうつもりだ。,言って,participle,しまう,dict,,,,
11395,どんなにちいさな子供でもそんなことはしっている。,しって,participle,いる,dict,,,,
11396,外国語を完璧に話せる人はほとんどいない。,話せる,dict,いない,negative,,,,
11397,手伝ってほしいですか。,手伝って,participle,,,,,,
11399,もう帰宅してもいいですか。,して,participle,,,,,,
11401,試験が近づいている。,近づいて,participle,いる,dict,,,,
11402,長く歩いてきたので空腹を感じた。,歩いて,participle,感じた,past,,,,
11403,彼は自動車を買う余裕はない。,買う,dict,,,,,,
11405,何かしてあげられることがありますか。,あげられる,passive,,,,,,
11406,彼は長い間貧しかったが今は裕福である。,ある,dict,,,,,,
11407,名前を教えていただけますか。,教えて,participle,いただけます,polite,,,,
11408,この小説はおもしろくもあり、ためにもなる。,なる,dict,,,,,,
11411,私はそんなに早く話すことができない。,話す,dict,,,,,,
11412,彼女がそんなに早く家に帰るなんて変だ。,帰る,dict,,,,,,
11413,昼食会に１０人を招待した。,した,past,,,,,,
11415,君は規則を破った。,破った,past,,,,,,
11417,私の親族は皆この町に住んでいる。,住んで,participle,いる,dict,,,,
11418,ヘヴィなサウンドが求められている。,求められて,potential-participle,いる,dict,,,,
11420,カメラをなくしてしまった。,しまった,past,,,,,,
11421,彼女は本を書くのに没頭している。,して,participle,いる,dict,,,,
11422,彼女は彼に再会するのを楽しみに待っている。,待って,participle,いる,dict,,,,
11424,それは卵のように見える。,見える,dict,,,,,,
11425,彼は新しい機械を操作した。,した,past,,,,,,
11426,風が吹いている。,吹いて,participle,いる,dict,,,,
11427,我々は君からの便りを待っています。,待って,participle,います,polite,,,,
11428,ろうそくに火をつけてください。,つけて,participle,,,,,,
11429,彼は日本語を話すことができる。,話す,dict,,,,,,
11430,彼はとても正直だからあてにすることができる。,する,dict,,,,,,
11433,私は歴史を勉強することが好きです。,する,dict,,,,,,
11435,彼はその病気で死んだ。,死んだ,past,,,,,,
11436,私は行くより仕方なかった。,行く,dict,,,,,,
11437,ぼくは一生懸命その仕事をやろうと思う。,やろう,volitional,思う,dict,,,,
11438,老人はしばしば若いころのことを回顧する。,する,dict,,,,,,
11439,我々の予定は変更できない。,できない,negative,,,,,,
11441,彼は鳥の飛び方を研究した。,飛び,nominal,した,past,,,,
11442,私は毎日それを使っています。,使って,participle,います,polite,,,,
11443,私は英語を勉強します。,します,polite,,,,,,
11444,ニューヨーク行きの電車は何時に出発しますか。,します,polite,,,,,,
11445,いいえ、でもテニスはやりますよ。,やります,polite,,,,,,
11446,彼女は彼と結婚した。,した,past,,,,,,
11447,彼はその本を買いたかった。,買いたかった,wish-past,,,,,,
11449,テレビで野球の試合を見ることは楽しい。,見る,dict,,,,,,
11450,ミルクを全部飲んでしまいなさい。,飲んで,participle,,,,,,
11451,彼女は家にいますか。,います,polite,,,,,,
11454,彼女が電話してきたときに、私はたまたま居合わせた。,して,participle,きた,past,,,,
11455,私は試験に受かるために熱心に勉強した。,した,past,,,,,,
11456,私達は群集の中で彼を見失ってしまった。,しまった,past,,,,,,
11457,私はその知らせを聞いて参ってしまった。,聞いて,participle,参って,participle,しまった,past,,
11459,私はもうだめだ。失業してしまった。,して,participle,しまった,past,,,,
11460,その時まで彼は叔父の家に泊まっていた。,泊まって,participle,いた,past,,,,
11461,値段が手ごろなら、その車を買いたい。,買いたい,wish,,,,,,
11462,全員が出席していた。,して,participle,いた,past,,,,
11463,学校が始まる月は４月だ。,始まる,dict,,,,,,
11464,どちらをとっても、あなたは満足するでしょう。,とって,participle,,,,,,
11465,私はドアをゆっくりと開けた。,開けた,past,,,,,,
11467,私の姉は普通歩いて学校に行きます。,歩いて,participle,行きます,polite,,,,
11468,必要な場合には、訪ねていらっしゃい。,訪ねて,participle,,,,,,
11470,この本は私にはとうていわからない。,わからない,negative,,,,,,
11471,我々は列車に遅れないかと心配だった。,遅れない,negative,,,,,,
11472,私は、その時、カナダにいた。,いた,past,,,,,,
11477,三年間パリに住みその間にフランス語を覚えた。,住み,nominal,覚えた,past,,,,
11478,地球は一年に一度太陽を回る。,回る,dict,,,,,,
11480,私はきょうの午後しばらくの間勉強した。,した,past,,,,,,
11482,彼らは和睦を求めた。,求めた,past,,,,,,
11483,お湯を全部使わないで。,使わないで,negative-participle,,,,,,
11484,戦争が起こったら私たちはどうなるの。,起こったら,conditional,,,,,,
11486,彼女は先週旅に出た。,出た,past,,,,,,
11488,彼は私にルールを説明した。,した,past,,,,,,
11491,そこに出かけるやいなや彼女は病気になった。,なった,past,,,,,,
11492,彼が優れた医者であることは有名である。,優れた,past,ある,dict,ある,dict,,
11493,我々がその川を渡るのは無理だと分かった。,分かった,past,,,,,,
11494,あなたの名前のスペルを教えてください。,教えて,participle,,,,,,
11495,ペンで名前を書いて下さい。,書いて,participle,,,,,,
11496,彼はそのニュースを聞いて青ざめた。,聞いて,participle,青ざめた,past,,,,
11497,メアリーは自転車に油をさした。,さした,past,,,,,,
11499,ケーキ一個で手を打ってあげるよ。,打って,participle,あげる,dict,,,,
11500,明日の今ごろ私は試験を受けているだろう。,受けて,participle,,,,,,
11501,父親は私の友人についてまで口に出した。,ついて,participle,出した,past,,,,
11502,背を向けることしかできないならば。,向ける,dict,,,,,,
11503,僕には君の言うことが分からない。,言う,dict,分からない,negative,,,,
11504,私たちはどこでバスに乗りましょうか。,乗りましょう,volitional-polite,,,,,,
11505,このドレスは水洗いができますか。,できます,polite,,,,,,
11508,この馬は手に負えない。,負えない,negative,,,,,,
11510,足の小指が痛む。,痛む,dict,,,,,,
11511,来年私はあなたの３倍の年齢になる。,なる,dict,,,,,,
11512,彼は昨年転校した。,した,past,,,,,,
11515,料理をするのを手伝ってよ。,手伝って,participle,,,,,,
11517,弟はまだ寝ている。,寝て,participle,いる,dict,,,,
11519,彼女はハワイに何度も行ったことがある。,行った,past,ある,dict,,,,
11520,私の仕事は終わっている。,終わって,participle,いる,dict,,,,
11521,彼女を気の毒におもわずにはいられない。,いられない,passive-negative,,,,,,
11522,もっとよくわかるまで彼には内緒にしておこう。,わかる,dict,して,participle,おこう,volitional,,
